Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Number of Potholes That Can Be Fixed,100.0,0.005343686354378818,https://leetcode.com/problems/maximum-number-of-potholes-that-can-be-fixed,"String, Greedy, Sorting"
MEDIUM,Largest Palindromic Number,98.0,0.003723564495538639,https://leetcode.com/problems/largest-palindromic-number,"Hash Table, String, Greedy, Counting"
MEDIUM,Number of Steps to Reduce a Number in Binary Representation to One,84.3,0.006374184174282618,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String, Bit Manipulation, Simulation"
MEDIUM,Coin Change,80.1,0.0048630532109969725,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Best Time to Buy and Sell Stock with Cooldown,80.1,0.006227191256243028,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
MEDIUM,Number of Spaces Cleaning Robot Cleaned,75.1,0.0064564007421150284,https://leetcode.com/problems/number-of-spaces-cleaning-robot-cleaned,"Array, Matrix, Simulation"
MEDIUM,Cinema Seat Allocation,75.1,0.004469476550196194,https://leetcode.com/problems/cinema-seat-allocation,"Array, Hash Table, Greedy, Bit Manipulation"
HARD,First Missing Positive,68.6,0.004311791209880479,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Minimum Number of Food Buckets to Feed the Hamsters,68.6,0.004842712392829306,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
MEDIUM,Valid Sudoku,59.4,0.006467046798084691,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Longest Happy String,59.4,0.006550294811320755,https://leetcode.com/problems/longest-happy-string,"String, Greedy, Heap (Priority Queue)"
MEDIUM,Best Time to Buy and Sell Stock II,59.4,0.0071240027110163985,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Minimum Moves to Spread Stones Over Grid,59.4,0.004580756013745704,https://leetcode.com/problems/minimum-moves-to-spread-stones-over-grid,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Matrix, Bitmask"
EASY,Remove All Adjacent Duplicates In String,59.4,0.0073456627223624305,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Integer to Roman,59.4,0.007117953992309961,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Path With Maximum Minimum Value,59.4,0.005472346169710151,https://leetcode.com/problems/path-with-maximum-minimum-value,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix"
MEDIUM,Merge Intervals,59.4,0.005211655273418328,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
