Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Interval List Intersections,100.0,0.007306717443664015,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Sweep Line"
HARD,Maximum Profit in Job Scheduling,100.0,0.005477637810810153,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Snapshot Array,95.3,0.0036750872641418196,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
MEDIUM,Basic Calculator II,95.3,0.00469727039629773,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Time Based Key-Value Store,95.3,0.004999054759188336,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Remove Sub-Folders from the Filesystem,95.3,0.007859798334837055,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Array, String, Depth-First Search, Trie"
MEDIUM,LRU Cache,95.3,0.0047546407921135415,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Transpose Matrix,89.6,0.007660041129127707,https://leetcode.com/problems/transpose-matrix,"Array, Matrix, Simulation"
MEDIUM,Non-overlapping Intervals,82.1,0.005728405445177871,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
HARD,Basic Calculator III,82.1,0.005341223881607911,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
EASY,Number of 1 Bits,82.1,0.0077014712128131825,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Integer to Roman,82.1,0.007117969028918968,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Diameter of Binary Tree,71.7,0.0065727526610959005,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Merge Sorted Array,71.7,0.005509633651522216,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Valid Sudoku,71.7,0.006467049387699764,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,LFU Cache,71.7,0.004951439405422402,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Merge Intervals,71.7,0.005211662279649603,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Guess the Word,71.7,0.0036681743870377475,https://leetcode.com/problems/guess-the-word,"Array, Math, String, Interactive, Game Theory"
