Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Split Array Largest Sum,100.0,0.0060720854633347235,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
HARD,Minimum Window Substring,93.3,0.004780067967965626,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Capacity To Ship Packages Within D Days,84.7,0.007414290484505776,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
HARD,Trapping Rain Water,84.7,0.0067615298025363625,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Palindrome Partitioning II,84.7,0.003729334932270199,https://leetcode.com/problems/palindrome-partitioning-ii,"String, Dynamic Programming"
MEDIUM,Task Scheduler,84.7,0.00632903209781877,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Remove Boxes,84.7,0.004947802282780167,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
MEDIUM,Next Greater Element II,72.6,0.006860799474346756,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack"
MEDIUM,Apply Operations to Make Two Strings Equal,72.6,0.0027792838285582667,https://leetcode.com/problems/apply-operations-to-make-two-strings-equal,"String, Dynamic Programming"
HARD,Reverse Nodes in k-Group,72.6,0.006642205309841066,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,72.6,0.003929968979427992,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Maximal Rectangle,72.6,0.005907191945877439,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
MEDIUM,Count Univalue Subtrees,72.6,0.005756111646459593,https://leetcode.com/problems/count-univalue-subtrees,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Insert Delete GetRandom O(1),72.6,0.005540982311246402,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Remove K Digits,72.6,0.0037086822851786715,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Heaters,72.6,0.00421120690691196,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Maximum Subarray,72.6,0.005347379998763699,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Find All Possible Recipes from Given Supplies,72.6,0.005697009548859283,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph Theory, Topological Sort"
HARD,Sliding Window Maximum,72.6,0.0048890513005155,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Minimize the Maximum Difference of Pairs,72.6,0.005098907228669003,https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs,"Array, Binary Search, Dynamic Programming, Greedy, Sorting"
HARD,Binary Tree Cameras,72.6,0.004795261318459027,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Shifting Letters II,72.6,0.0053738176761514945,https://leetcode.com/problems/shifting-letters-ii,"Array, String, Prefix Sum"
MEDIUM,Partition to K Equal Sum Subsets,72.6,0.0038722078610724463,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
MEDIUM,Guess Number Higher or Lower II,72.6,0.00529520391008873,https://leetcode.com/problems/guess-number-higher-or-lower-ii,"Math, Dynamic Programming, Game Theory"
MEDIUM,Merge Intervals,72.6,0.005211659924033122,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Median of Two Sorted Arrays,72.6,0.004684235722433348,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Distribute Coins in Binary Tree,72.6,0.007732464895956691,https://leetcode.com/problems/distribute-coins-in-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Power Grid Maintenance,72.6,0.005614302741358761,https://leetcode.com/problems/power-grid-maintenance,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Heap (Priority Queue), Ordered Set"
MEDIUM,Word Break,72.6,0.004958111756524585,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,House Robber,72.6,0.005332530232045932,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
