Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Maximum Score of Non-overlapping Intervals,100.0,0.0031727866320297687,https://leetcode.com/problems/maximum-score-of-non-overlapping-intervals,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Create Components With Same Value,82.6,0.005374726349620384,https://leetcode.com/problems/create-components-with-same-value,"Array, Math, Tree, Depth-First Search, Enumeration"
MEDIUM,Sum of Subarray Minimums,77.0,0.0038729659149732546,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
EASY,Isomorphic Strings,77.0,0.00485638078708665,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Subarray Sum Equals K,77.0,0.004756675930910395,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Asteroid Collision,69.8,0.0048212694839523855,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Cherry Pickup II,69.8,0.007249731294046191,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
HARD,Minimum Edge Weight Equilibrium Queries in a Tree,59.7,0.004674940898345154,https://leetcode.com/problems/minimum-edge-weight-equilibrium-queries-in-a-tree,"Array, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search"
HARD,Apply Operations on Array to Maximize Sum of Squares,59.7,0.004478405315614618,https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares,"Array, Hash Table, Greedy, Bit Manipulation"
HARD,Minimum Time to Revert Word to Initial State II,59.7,0.0035484529766159497,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii,"String, Rolling Hash, String Matching, Hash Function"
MEDIUM,Minimum Time to Revert Word to Initial State I,59.7,0.004265755001657044,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-i,"String, Rolling Hash, String Matching, Hash Function"
MEDIUM,Maximum Subarray Sum After One Operation,59.7,0.006521092042230595,https://leetcode.com/problems/maximum-subarray-sum-after-one-operation,"Array, Dynamic Programming"
MEDIUM,Apply Bitwise Operations to Make Strings Equal,59.7,0.004274824696109086,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal,"String, Bit Manipulation"
HARD,Number of Great Partitions,59.7,0.00336316555690795,https://leetcode.com/problems/number-of-great-partitions,"Array, Dynamic Programming"
HARD,Count the Number of Powerful Integers,59.7,0.004624612751895672,https://leetcode.com/problems/count-the-number-of-powerful-integers,"Math, String, Dynamic Programming"
MEDIUM,Number of Same-End Substrings,59.7,0.0061681923760076515,https://leetcode.com/problems/number-of-same-end-substrings,"Array, Hash Table, String, Counting, Prefix Sum"
HARD,Maximize Score After N Operations,59.7,0.005793336220916453,https://leetcode.com/problems/maximize-score-after-n-operations,"Array, Math, Dynamic Programming, Backtracking, Bit Manipulation, Number Theory, Bitmask"
MEDIUM,Choose Edges to Maximize Score in a Tree,59.7,0.005676788471435924,https://leetcode.com/problems/choose-edges-to-maximize-score-in-a-tree,"Dynamic Programming, Tree, Depth-First Search"
HARD,Closest Subsequence Sum,59.7,0.004392137355100318,https://leetcode.com/problems/closest-subsequence-sum,"Array, Two Pointers, Dynamic Programming, Bit Manipulation, Sorting, Bitmask"
MEDIUM,Next Greater Numerically Balanced Number,59.7,0.006309274837860701,https://leetcode.com/problems/next-greater-numerically-balanced-number,"Hash Table, Math, Backtracking, Counting, Enumeration"
HARD,First Missing Positive,59.7,0.004311810565530371,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Regular Expression Matching,59.7,0.003112633520978522,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Remove Boxes,59.7,0.004947802282780167,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
HARD,Odd Even Jump,59.7,0.004129585770974167,https://leetcode.com/problems/odd-even-jump,"Array, Dynamic Programming, Stack, Sorting, Monotonic Stack, Ordered Set"
HARD,Max Points on a Line,59.7,0.0030936226543023387,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
HARD,Student Attendance Record II,59.7,0.0056675696526263504,https://leetcode.com/problems/student-attendance-record-ii,Dynamic Programming
MEDIUM,Shortest Path with Alternating Colors,59.7,0.004809856267859437,https://leetcode.com/problems/shortest-path-with-alternating-colors,"Breadth-First Search, Graph Theory"
HARD,Find Median from Data Stream,59.7,0.0054632404258080705,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Longest Univalue Path,59.7,0.00440488700532351,https://leetcode.com/problems/longest-univalue-path,"Tree, Depth-First Search, Binary Tree"
HARD,Maximal Rectangle,59.7,0.005907187396690232,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
MEDIUM,Maximum Sum Circular Subarray,59.7,0.005053327132998346,https://leetcode.com/problems/maximum-sum-circular-subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue"
HARD,Longest Valid Parentheses,59.7,0.0039027544584890623,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
HARD,Frog Jump,59.7,0.004737657345964418,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,132 Pattern,59.7,0.003485881493856152,https://leetcode.com/problems/132-pattern,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set"
HARD,Sliding Window Maximum,59.7,0.004889045078883804,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Validate Stack Sequences,59.7,0.007048016312697275,https://leetcode.com/problems/validate-stack-sequences,"Array, Stack, Simulation"
