Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design a Stack With Increment Operation,100.0,0.007990639418715736,https://leetcode.com/problems/design-a-stack-with-increment-operation,"Array, Stack, Design"
MEDIUM,Longest String Chain,100.0,0.006316917092867707,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Number of Islands,100.0,0.006459357847023438,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,LRU Cache,91.9,0.0047546323694833215,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Trapping Rain Water,80.6,0.006761517001545453,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Single Element in a Sorted Array,80.6,0.005930893467232633,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,80.6,0.00577954228841431,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
HARD,Making A Large Island,80.6,0.00567938649245694,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Surrounded Regions,80.6,0.004560889562875062,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Check if a Parentheses String Can Be Valid,80.6,0.00452116744809877,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid,"String, Stack, Greedy"
MEDIUM,Course Schedule II,80.6,0.005574064248206421,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Decode String,80.6,0.006278205355813541,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,Minimum Window Substring,80.6,0.004780066916742195,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Number of Islands II,80.6,0.004065304164521254,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union-Find"
MEDIUM,Rotting Oranges,80.6,0.005886905766144232,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
