Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Delete and Earn,100.0,0.005730985926106407,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
MEDIUM,Can Make Palindrome from Substring,100.0,0.004177848172870234,https://leetcode.com/problems/can-make-palindrome-from-substring,"Array, Hash Table, String, Bit Manipulation, Prefix Sum"
MEDIUM,Map Sum Pairs,97.7,0.005724452387316049,https://leetcode.com/problems/map-sum-pairs,"Hash Table, String, Design, Trie"
HARD,Cherry Pickup,97.7,0.003973787409700723,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
MEDIUM,Network Delay Time,97.7,0.006077070316156802,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
HARD,Create Sorted Array through Instructions,97.7,0.0041995947315096255,https://leetcode.com/problems/create-sorted-array-through-instructions,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
HARD,Minimum Initial Energy to Finish Tasks,97.7,0.007643369779154786,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks,"Array, Greedy, Sorting"
HARD,Constrained Subsequence Sum,97.7,0.005643022660928707,https://leetcode.com/problems/constrained-subsequence-sum,"Array, Dynamic Programming, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
HARD,Dice Roll Simulation,97.7,0.0050949521610029695,https://leetcode.com/problems/dice-roll-simulation,"Array, Dynamic Programming"
HARD,Number of Different Subsequences GCDs,97.7,0.004622679310805396,https://leetcode.com/problems/number-of-different-subsequences-gcds,"Array, Math, Counting, Number Theory"
MEDIUM,Number of Operations to Make Network Connected,97.7,0.006678334574600134,https://leetcode.com/problems/number-of-operations-to-make-network-connected,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
HARD,Minimum Number of Taps to Open to Water a Garden,97.7,0.005101582475295419,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Reduce Array Size to The Half,97.7,0.006939192836689668,https://leetcode.com/problems/reduce-array-size-to-the-half,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue)"
EASY,Increasing Decreasing String,97.7,0.007738651867976882,https://leetcode.com/problems/increasing-decreasing-string,"Hash Table, String, Counting"
MEDIUM,Maximum Star Sum of a Graph,85.2,0.004245795328728845,https://leetcode.com/problems/maximum-star-sum-of-a-graph,"Array, Greedy, Graph Theory, Sorting, Heap (Priority Queue)"
HARD,Critical Connections in a Network,58.3,0.005990783577087915,https://leetcode.com/problems/critical-connections-in-a-network,"Depth-First Search, Graph Theory, Biconnected Component"
